wandb: W&B API key is configured. Use `wandb login --relogin` to force relogin
wandb: setting up run y7rq6e80
wandb: Tracking run with wandb version 0.23.1
wandb: Run data is saved locally in /data/share/lijiang/250010178/250010178/debug_tmp_6*6for4/wandb/run-20251230_074112-y7rq6e80
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run bumbling-cloud-2
wandb: ⭐️ View project at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6
wandb: 🚀 View run at https://wandb.ai/aysdwjx-ustc/alphazero-gobang-6x6/runs/y7rq6e80
Using device: cuda
Game 92 | Winner: -1 | Loss: 2.6080 | Steps: 36
Game 93 | Winner: 1 | Loss: 3.2498 | Steps: 35
Game 94 | Winner: 0 | Loss: 2.6634 | Steps: 36
Game 95 | Winner: -1 | Loss: 2.9018 | Steps: 34
Game 96 | Winner: -1 | Loss: 2.6904 | Steps: 34
Game 97 | Winner: -1 | Loss: 2.9434 | Steps: 36
Game 98 | Winner: 0 | Loss: 3.1079 | Steps: 36
Game 99 | Winner: 1 | Loss: 3.2598 | Steps: 35
Game 100 | Winner: -1 | Loss: 3.0411 | Steps: 26
Game 101 | Winner: 1 | Loss: 3.0010 | Steps: 31
Game 102 | Winner: -1 | Loss: 2.9034 | Steps: 34
Game 103 | Winner: 1 | Loss: 2.7293 | Steps: 23
Game 104 | Winner: 1 | Loss: 2.8460 | Steps: 33
Game 105 | Winner: 1 | Loss: 3.0151 | Steps: 35
Game 106 | Winner: 0 | Loss: 3.0433 | Steps: 36
Game 107 | Winner: -1 | Loss: 2.9070 | Steps: 32
Game 108 | Winner: 1 | Loss: 3.0075 | Steps: 35
Game 109 | Winner: -1 | Loss: 2.6157 | Steps: 34
Game 110 | Winner: 1 | Loss: 2.6259 | Steps: 33
Game 111 | Winner: 1 | Loss: 3.1643 | Steps: 35
Game 112 | Winner: 0 | Loss: 3.1251 | Steps: 36
Game 113 | Winner: -1 | Loss: 3.0085 | Steps: 36
Game 114 | Winner: 1 | Loss: 3.2812 | Steps: 35
Game 115 | Winner: 1 | Loss: 3.1042 | Steps: 35
Game 116 | Winner: -1 | Loss: 3.1549 | Steps: 30
Game 117 | Winner: -1 | Loss: 3.2034 | Steps: 34
Game 118 | Winner: 0 | Loss: 2.7708 | Steps: 36
Game 119 | Winner: 0 | Loss: 3.1363 | Steps: 36
Game 120 | Winner: 1 | Loss: 3.0482 | Steps: 35
Game 121 | Winner: -1 | Loss: 3.1156 | Steps: 28
Game 122 | Winner: 1 | Loss: 2.7530 | Steps: 27
Game 123 | Winner: 0 | Loss: 3.0271 | Steps: 36
Game 124 | Winner: -1 | Loss: 2.8418 | Steps: 36
Game 125 | Winner: -1 | Loss: 2.9478 | Steps: 36
Game 126 | Winner: -1 | Loss: 3.2727 | Steps: 36
Game 127 | Winner: 1 | Loss: 2.9670 | Steps: 35
Game 128 | Winner: -1 | Loss: 2.9995 | Steps: 34
Game 129 | Winner: 1 | Loss: 2.9129 | Steps: 33
Game 130 | Winner: -1 | Loss: 2.9567 | Steps: 34
Game 131 | Winner: -1 | Loss: 3.2141 | Steps: 34
Game 132 | Winner: 0 | Loss: 2.9875 | Steps: 36
Game 133 | Winner: -1 | Loss: 2.7725 | Steps: 36
Game 134 | Winner: -1 | Loss: 2.9098 | Steps: 36
Game 135 | Winner: 1 | Loss: 3.2127 | Steps: 35
Game 136 | Winner: 0 | Loss: 2.6300 | Steps: 36
Game 137 | Winner: -1 | Loss: 2.7422 | Steps: 32
Game 138 | Winner: 1 | Loss: 3.0843 | Steps: 35
Game 139 | Winner: 1 | Loss: 2.7820 | Steps: 33
Game 140 | Winner: -1 | Loss: 2.8330 | Steps: 34
Game 141 | Winner: -1 | Loss: 2.6716 | Steps: 32
Game 142 | Winner: 0 | Loss: 2.8598 | Steps: 36
Game 143 | Winner: -1 | Loss: 2.9864 | Steps: 36
Game 144 | Winner: 1 | Loss: 2.8092 | Steps: 35
Game 145 | Winner: 1 | Loss: 3.1931 | Steps: 33
Game 146 | Winner: 1 | Loss: 2.6844 | Steps: 35
Game 147 | Winner: -1 | Loss: 2.9229 | Steps: 32
Game 148 | Winner: -1 | Loss: 2.7337 | Steps: 34
Game 149 | Winner: 1 | Loss: 2.6717 | Steps: 33
Game 150 | Winner: -1 | Loss: 2.8076 | Steps: 34
